run_id      , experiment, model            , fold, epoch, train_loss          , train_acc         , val_loss           , val_acc           , val_rmse_dollars  , val_mae_dollars   , val_r2            , seconds
tuned2_s2026, tuned2    , ridge            ,    1,     1, 0.0931287996155411  , 0.807032590051458 , 0.1133864250166408 , 0.7054794520547946, 18181.98699693148 , 12894.599241178588, 0.93786328578802  ,  0.0220644999999999
tuned2_s2026, tuned2    , ridge            ,    2,     1, 0.089866161717277   , 0.8010291595197255, 0.1248072011283777 , 0.7568493150684932, 20251.037486311507, 13168.690317632036, 0.9137792553368748,  0.0229388000000001
tuned2_s2026, tuned2    , ridge            ,    3,     1, 0.0959471499701867  , 0.8001715265866209, 0.0992695762498318 , 0.7842465753424658, 19035.80685798618 , 12990.244776721507, 0.9442017135671942,  0.0215824999999998
tuned2_s2026, tuned2    , ridge            ,    4,     1, 0.0881521621917099  , 0.818337617823479 , 0.1285276670536266 , 0.7285223367697594, 29516.328802762106, 17082.578271571285, 0.905519803971944 ,  0.0207907999999998
tuned2_s2026, tuned2    , ridge            ,    5,     1, 0.0966085964290404  , 0.792630676949443 , 0.0959249410181537 , 0.7457044673539519, 18753.04120481995 , 12111.970535480945, 0.9364671593336502,  0.0214106999999998
tuned2_s2026, tuned2    , elasticnet       ,    1,     1, 0.0947979593994179  , 0.7941680960548885, 0.1083175780492632 , 0.7328767123287672, 17529.41334920974 , 12399.95838660813 , 0.942243567181724 ,  0.0889404
tuned2_s2026, tuned2    , elasticnet       ,    2,     1, 0.0911733255252203  , 0.7993138936535163, 0.122941592789097  , 0.7397260273972602, 20099.019154124384, 12991.8139893658  , 0.9150688621724898,  0.6893391
tuned2_s2026, tuned2    , elasticnet       ,    3,     1, 0.0971161723418255  , 0.7924528301886793, 0.0973837924478212 , 0.7671232876712328, 18956.69873225608 , 12949.760524329437, 0.9446645177907976,  0.0838350000000001
tuned2_s2026, tuned2    , elasticnet       ,    4,     1, 0.0892248934315069  , 0.8089117395029991, 0.1290304022813208 , 0.7216494845360825, 29858.0671671701  , 17158.890831194487, 0.9033193664220148,  0.0826214000000002
tuned2_s2026, tuned2    , elasticnet       ,    5,     1, 0.0976055332381268  , 0.778063410454156 , 0.0943303904551181 , 0.7697594501718213, 19233.605028152288, 11925.419309348554, 0.93316926387603  ,  0.0781130000000001
tuned2_s2026, tuned2    , lasso            ,    1,     1, 0.0964048528977282  , 0.79073756432247  , 0.1081261790728371 , 0.7328767123287672, 17429.42128233096 , 12318.497020305917, 0.9429006015551208,  0.0634838000000002
tuned2_s2026, tuned2    , lasso            ,    2,     1, 0.0927267445651972  , 0.7924528301886793, 0.1225886013326933 , 0.7397260273972602, 20111.59835255352 , 12954.685667736614, 0.91496251867864  ,  0.7120845
tuned2_s2026, tuned2    , lasso            ,    3,     1, 0.098762202495744   , 0.7847341337907375, 0.0978997906540215 , 0.7534246575342466, 18914.852472205188, 12958.461014236997, 0.9449085504914664,  0.0609877999999999
tuned2_s2026, tuned2    , lasso            ,    4,     1, 0.0907037329370503  , 0.7994858611825193, 0.1296031941534996 , 0.7147766323024055, 30104.227056324056, 17284.105333049065, 0.9017186601920314,  0.0728254999999999
tuned2_s2026, tuned2    , lasso            ,    5,     1, 0.0991381172472795  , 0.7832047986289632, 0.0940215977970319 , 0.7731958762886598, 19171.79503927746 , 11994.697716935078, 0.9335981142735984,  0.0505575999999998
tuned2_s2026, tuned2    , kernel_ridge     ,    1,     1, 0.0914292222090972  , 0.8113207547169812, 0.1154512175055402 , 0.7226027397260274, 18443.241985660497, 12866.53089915319 , 0.9360647853864384,  0.0411171999999999
tuned2_s2026, tuned2    , kernel_ridge     ,    2,     1, 0.0879974502212441  , 0.807032590051458 , 0.13477763245261   , 0.75              , 21919.436081085256, 14142.258925388229, 0.89898730269416  ,  0.0358981000000002
tuned2_s2026, tuned2    , kernel_ridge     ,    3,     1, 0.0930113496283549  , 0.8190394511149228, 0.1033090090955433 , 0.7465753424657534, 19594.579829666647, 13366.30410335796 , 0.940877853524263 ,  0.0344588999999997
tuned2_s2026, tuned2    , kernel_ridge     ,    4,     1, 0.08603297070171    , 0.8337617823479005, 0.1363275254137967 , 0.6907216494845361, 30642.629579342112, 18249.02343783735 , 0.8981717760467023,  0.0406364000000003
tuned2_s2026, tuned2    , kernel_ridge     ,    5,     1, 0.0934597973641324  , 0.8071979434447301, 0.1075673665241198 , 0.7491408934707904, 19009.66732129931 , 13002.50063944876 , 0.9347164306532636,  0.0362496999999999
tuned2_s2026, tuned2    , svr              ,    1,     1, 0.0900543917387656  , 0.8499142367066895, 0.1144539964142557 , 0.75              , 17223.07710614758 , 11743.367483480284, 0.9442445801945948,  0.17374
tuned2_s2026, tuned2    , svr              ,    2,     1, 0.0872117035397359  , 0.855917667238422 , 0.1283105646249028 , 0.7636986301369864, 19861.09189947789 , 12580.794867570536, 0.9170677484853896,  0.1664635000000007
tuned2_s2026, tuned2    , svr              ,    3,     1, 0.0943012999232458  , 0.8490566037735849, 0.0958905446673121 , 0.7945205479452054, 18423.90602160316 , 12499.67361484259 , 0.9477312996120248,  0.1655901000000001
tuned2_s2026, tuned2    , svr              ,    4,     1, 0.0864180854172081  , 0.8577549271636675, 0.1288470219727106 , 0.7250859106529209, 27973.12262161898 , 16242.738497329196, 0.9151409814320914,  0.1685745999999994
tuned2_s2026, tuned2    , svr              ,    5,     1, 0.0956340496707333  , 0.8526135389888603, 0.0922731586755397 , 0.8109965635738832, 16789.218767631188, 11004.747344534326, 0.949076782700066 ,  0.1667684999999998
tuned2_s2026, tuned2    , gradient_boosting,    1,  3000, 0.0596198347410585  , 0.9622641509433962, 0.1147120329635821 , 0.791095890410959 , 17972.55770269944 , 11586.284032967356, 0.939286485752713 ,  3.847099900000001
tuned2_s2026, tuned2    , gradient_boosting,    2,  3000, 0.0572066929307984  , 0.9605488850771868, 0.1288961622770216 , 0.7465753424657534, 21382.188332724872, 14127.593900764869, 0.9038782840465756,  3.8372958
tuned2_s2026, tuned2    , gradient_boosting,    3,  3000, 0.0614098255117604  , 0.9571183533447684, 0.0977908389805826 , 0.7568493150684932, 18692.72679275614 , 12912.716752948996, 0.9461948805889536,  3.835907900000001
tuned2_s2026, tuned2    , gradient_boosting,    4,  3000, 0.053243976677977   , 0.9622964867180804, 0.1297870047766342 , 0.7010309278350515, 31005.047069646786, 16927.767991955952, 0.8957488399011903,  3.9078333999999977
tuned2_s2026, tuned2    , gradient_boosting,    5,  3000, 0.0605310400884633  , 0.9545844044558698, 0.0956151824920201 , 0.7835051546391752, 17957.590484059525, 11513.601570607132, 0.9417426152149584,  4.4513158
tuned2_s2026, tuned2    , lightgbm         ,    1,  4200, 0.0214110034516365  , 0.9957118353344768, 0.1232147985021168 , 0.7191780821917808, 20560.67928964124 , 13668.302871183356, 0.9205414718426088,  2.7592227000000022
tuned2_s2026, tuned2    , lightgbm         ,    2,  4200, 0.0210826255609868  , 0.9982847341337908, 0.1335029272341438 , 0.7397260273972602, 22205.962017511207, 14396.920638927131, 0.8963292120218654,  2.7198486000000024
tuned2_s2026, tuned2    , lightgbm         ,    3,  4200, 0.0216417311281356  , 0.9965694682675816, 0.1094929227662483 , 0.7191780821917808, 21797.16568973921 , 14709.975073508784, 0.926839218910468 ,  2.4259455999999986
tuned2_s2026, tuned2    , lightgbm         ,    4,  4200, 0.0189128731564285  , 0.9991431019708654, 0.1371367657672655 , 0.711340206185567 , 33282.238319709046, 17560.282444833327, 0.8798728541521751,  2.4657674000000043
tuned2_s2026, tuned2    , lightgbm         ,    5,  4200, 0.0209962122076349  , 0.996572407883462 , 0.1159243924254111 , 0.6907216494845361, 21584.069735511795, 14546.75144221891 , 0.9158369376936284,  2.501637499999994
tuned2_s2026, tuned2    , xgboost          ,    1,  4200, 0.0645477718311958  , 0.9013722126929674, 0.110686351362215  , 0.7363013698630136, 18615.23611050827 , 12411.93646800771 , 0.9348667578775572,  1.794129599999998
tuned2_s2026, tuned2    , xgboost          ,    2,  4200, 0.0632807508815197  , 0.9082332761578044, 0.1245478121752947 , 0.7157534246575342, 21115.645581789344, 13855.300014750575, 0.9062597856861896,  1.5755386000000016
tuned2_s2026, tuned2    , xgboost          ,    3,  4200, 0.0653937699251171  , 0.8987993138936535, 0.1015731272623424 , 0.7568493150684932, 18283.670027821296, 12950.261334377155, 0.9485239715547558,  1.6780729999999977
tuned2_s2026, tuned2    , xgboost          ,    4,  4200, 0.0597896531284814  , 0.9048843187660668, 0.1291832198605173 , 0.7422680412371134, 31877.060215631605, 16639.890062720704, 0.8898022741416659,  1.5201551000000038
tuned2_s2026, tuned2    , xgboost          ,    5,  4200, 0.0654561221637634  , 0.9014567266495288, 0.1013334681817849 , 0.7491408934707904, 19439.39743419841 , 13031.85845472438 , 0.931731485016366 ,  1.5516823999999971
tuned2_s2026, tuned2    , catboost         ,    1,  3200, 0.0354069709556093  , 0.986277873070326 , 0.1093020761940813 , 0.7602739726027398, 18622.116950537835, 12272.45999965827 , 0.9348185979458884,  3.9632441999999983
tuned2_s2026, tuned2    , catboost         ,    2,  3200, 0.0356354841138312  , 0.9871355060034306, 0.1226829678777933 , 0.75              , 20699.36027225129 , 13273.875980243643, 0.9099194433445192,  3.8569815000000034
tuned2_s2026, tuned2    , catboost         ,    3,  3200, 0.035305607254687   , 0.9888507718696398, 0.0986894557645412 , 0.8116438356164384, 18277.03273493862 , 12524.157935754329, 0.9485613381734   ,  3.701034499999999
tuned2_s2026, tuned2    , catboost         ,    4,  3200, 0.0313524460019711  , 0.9931448157669236, 0.1316495845168309 , 0.7457044673539519, 32203.27763993959 , 16321.571130909811, 0.8875352922362689,  3.758180100000004
tuned2_s2026, tuned2    , catboost         ,    5,  3200, 0.034981963968153   , 0.988860325621251 , 0.0994677698088859 , 0.7353951890034365, 18858.514630397814, 12607.212163816184, 0.9357504893616768,  3.828692599999997
tuned3_s42  , tuned3    , ridge            ,    1,     1, 0.08481444786899246 , 0.819433817903596 , 0.11075989299736562, 0.7397260273972602, 18192.23643776589 , 11994.922183426375, 0.943321060516969 ,  0.020621200000000117
tuned3_s42  , tuned3    , ridge            ,    2,     1, 0.0850290648787515  , 0.819433817903596 , 0.10976120952295682, 0.7876712328767124, 18184.08694379666 , 11436.048457966814, 0.9097028369774958,  0.01984190000000008
tuned3_s42  , tuned3    , ridge            ,    3,     1, 0.08852548255675402 , 0.8102524866105585, 0.07414837177119193, 0.8493150684931506, 14907.170595463054,  9914.31817272854 , 0.9656832179777569,  0.020084599999999897
tuned3_s42  , tuned3    , ridge            ,    4,     1, 0.08622095493237679 , 0.8157492354740061, 0.10148296182753086, 0.7517241379310344, 22154.216673223033, 13513.897569921894, 0.934475022977582 ,  0.019500900000000154
tuned3_s42  , tuned3    , ridge            ,    5,     1, 0.0854602805894541  , 0.8279816513761468, 0.10751556575236136, 0.6896551724137931, 25851.624985168874, 15895.064283179703, 0.9228849813301008,  0.019547699999999946
tuned3_s42  , tuned3    , ridge            ,    6,     1, 0.0842163534269007  , 0.8264525993883792, 0.11429956128605197, 0.7034482758620689, 17223.27396732778 , 12886.551242908516, 0.9476280171377316,  0.0201001999999999
tuned3_s42  , tuned3    , ridge            ,    7,     1, 0.08814859894532724 , 0.8027522935779816, 0.07921788343037907, 0.8344827586206897, 15896.235738342544, 10970.085810924666, 0.9489609730162046,  0.020562499999999817
tuned3_s42  , tuned3    , ridge            ,    8,     1, 0.08648354732035717 , 0.8226299694189603, 0.09501686376832295, 0.7586206896551724, 16561.042893871792, 11965.074197467597, 0.9569395067211857,  0.019624399999999875
tuned3_s42  , tuned3    , ridge            ,    9,     1, 0.08634701106892431 , 0.8188073394495413, 0.09741273754892071, 0.7862068965517242, 18881.92173767371 , 12961.430337804402, 0.924941016519501 ,  0.020103900000000063
tuned3_s42  , tuned3    , ridge            ,   10,     1, 0.08399820413066363 , 0.8180428134556575, 0.12173144967498441, 0.7379310344827587, 24201.70013637434 , 14914.373772166471, 0.9310603798567549,  0.019742499999999996
tuned3_s42  , tuned3    , elasticnet       ,    1,     1, 0.08675874188048693 , 0.8125478194338179, 0.11079372417141319, 0.7602739726027398, 18211.273765253318, 12245.851077672687, 0.9432023747131644,  0.14394139999999989
tuned3_s42  , tuned3    , elasticnet       ,    2,     1, 0.08717746011559264 , 0.8041315990818668, 0.10827989513861763, 0.7808219178082192, 18092.315708632497, 11357.111041551434, 0.9106119584135153,  0.14884490000000006
tuned3_s42  , tuned3    , elasticnet       ,    3,     1, 0.0905388220619956  , 0.7941851568477429, 0.0727354785654259 , 0.8561643835616438, 14424.436129280199,  9358.956059225735, 0.9678697723140112,  0.14567690000000022
tuned3_s42  , tuned3    , elasticnet       ,    4,     1, 0.0887751942188246  , 0.8096330275229358, 0.09861519463340236, 0.7655172413793103, 22943.248345339565, 13437.809746472049, 0.9297245084970236,  0.100943
tuned3_s42  , tuned3    , elasticnet       ,    5,     1, 0.0863530920647096  , 0.8126911314984709, 0.1106409213908272 , 0.7034482758620689, 25398.291272398685, 15705.26423328998 , 0.9255658432808391,  0.12381779999999987
tuned3_s42  , tuned3    , elasticnet       ,    6,     1, 0.08632350424760135 , 0.8180428134556575, 0.11499426041201162, 0.7172413793103448, 17612.25056662129 , 13285.372911266215, 0.9452357293310614,  0.12541840000000004
tuned3_s42  , tuned3    , elasticnet       ,    7,     1, 0.09055095175687013 , 0.7951070336391437, 0.07614252274116039, 0.8482758620689655, 14714.867278829248, 10338.34255804984 , 0.9562652653736478,  0.1423656000000002
tuned3_s42  , tuned3    , elasticnet       ,    8,     1, 0.08896327880441394 , 0.8096330275229358, 0.09347985959136484, 0.7655172413793103, 16367.787340384197, 12015.494849468074, 0.9579386135388368,  0.14705469999999998
tuned3_s42  , tuned3    , elasticnet       ,    9,     1, 0.08849365021323403 , 0.8111620795107034, 0.09666462338421578, 0.7793103448275862, 18800.500583396435, 13239.600134550388, 0.9255869478638074,  0.13789490000000004
tuned3_s42  , tuned3    , elasticnet       ,   10,     1, 0.08685404276027635 , 0.8073394495412844, 0.11553691457057028, 0.7448275862068966, 23463.613452734277, 14319.720949156725, 0.9352012056452127,  0.2847065999999998
